"RunId","FP_ID","Description","Status","StartTimeLocal","EndTimeLocal","DurationSec","Artifacts","Details"
"TFM_FP_20260618_151316","FP-001","PowerShell administrativo legitimo","OK","2026-06-18T15:13:16.8688909+02:00","2026-06-18T15:13:17.4715722+02:00","0,6","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260618_151316\FP-001_benign.txt","PowerShell administrative commands completed"
"TFM_FP_20260618_151316","FP-002","CMD legitimo","OK","2026-06-18T15:13:17.4777485+02:00","2026-06-18T15:13:17.5901150+02:00","0,11","","cmd /c dir ""C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260618_151316"" => 0 | cmd /c whoami => 0 | cmd /c hostname => 0 | cmd /c echo TFM_FP_20260618_151316 FP-002 => 0"
"TFM_FP_20260618_151316","FP-003","Scheduled Task benigno temporal","OK","2026-06-18T15:13:17.5901150+02:00","2026-06-18T15:13:20.7722437+02:00","3,18","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260618_151316\FP-003_scheduled_task_ok.txt","create=0; run=0; delete=0"
"TFM_FP_20260618_151316","FP-004","Registro benigno no persistente","OK","2026-06-18T15:13:20.7722437+02:00","2026-06-18T15:13:20.7722437+02:00","0","","HKCU:\Software\TFM_FP\TFM_FP_20260618_151316 created, read and removed"
"TFM_FP_20260618_151316","FP-005","Consulta de servicios","OK","2026-06-18T15:13:20.7722437+02:00","2026-06-18T15:13:21.2107444+02:00","0,44","","Service query commands completed"
"TFM_FP_20260618_151316","FP-006","Discovery legitimo de seguridad","OK","2026-06-18T15:13:21.2107444+02:00","2026-06-18T15:13:22.2355044+02:00","1,02","","Security status queries completed"
"TFM_FP_20260618_151316","FP-007","ZIP benigno local","OK","2026-06-18T15:13:22.2626181+02:00","2026-06-18T15:13:22.4581193+02:00","0,2","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260618_151316\FP-007; C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260618_151316\FP-007_benign_archive.zip","Local ZIP created without web transfer"
"TFM_FP_20260618_151316","FP-008","Borrado benigno controlado","OK","2026-06-18T15:13:22.4581193+02:00","2026-06-18T15:13:22.8255930+02:00","0,37","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260618_151316\FP-008","Only the controlled workspace subfolder was deleted"
"TFM_FP_20260618_151316","FP-009","HTTP benigno local","SKIPPED","2026-06-18T15:13:22.8470215+02:00","2026-06-18T15:13:26.0924046+02:00","3,25","","No local HTTP listener on 127.0.0.1:80; Test-NetConnection completed"
"TFM_FP_20260618_151316","FP-010","Operaciones normales masivas","OK","2026-06-18T15:13:26.0924046+02:00","2026-06-18T15:13:26.1901985+02:00","0,1","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260618_151316\FP-010; C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260618_151316\FP-010\copy","20 files created, copied and partially renamed"
