"RunId","EventTime","MatchedByTime","MatchedByRunId","FP_ID","Profile","TEC","DetectionName","Severity","Confidence","Artifact","Source","PotentialFP","EvidenceExcerpt"
"TFM_FP_20260618_151316","2026-06-18T13:13:17Z","True","False","UNKNOWN","P3","TEC-006","TEC-006 Security Software Discovery","MEDIUM","HIGH","Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1/TEC006_SecuritySoftwareDiscovery_4104","Microsoft-Windows-PowerShell/Operational","FP medio/comportamental","
#requires -version 3.0

try { Microsoft.PowerShell.Core\Set-StrictMode -Off } catch { }

$script:MyModule = $MyInvocation.MyCommand.ScriptBlock.Module

$script:ClassName = 'ROOT\Microsoft\Windows\Defender\MSFT_MpThreatDetection'
$script:ClassVersion = '1.0'
$script:ModuleVersion = '1.0'
$"
"TFM_FP_20260618_151316","2026-06-18T13:13:17Z","True","False","UNKNOWN","P3","TEC-006","TEC-006 Security Software Discovery","MEDIUM","HIGH","Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1/TEC006_SecuritySoftwareDiscovery_4104","Microsoft-Windows-PowerShell/Operational","FP medio/comportamental","
#requires -version 3.0

try { Microsoft.PowerShell.Core\Set-StrictMode -Off } catch { }

$script:MyModule = $MyInvocation.MyCommand.ScriptBlock.Module

$script:ClassName = 'ROOT\Microsoft\Windows\Defender\MSFT_MpScan'
$script:ClassVersion = '1.0'
$script:ModuleVersion = '1.0'
$script:Obje"
"TFM_FP_20260618_151316","2026-06-18T13:13:18Z","True","False","UNKNOWN","P3","TEC-006","TEC-006 Security Software Discovery","MEDIUM","HIGH","Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1/TEC006_SecuritySoftwareDiscovery_4104","Microsoft-Windows-PowerShell/Operational","FP medio/comportamental","
#requires -version 3.0

try { Microsoft.PowerShell.Core\Set-StrictMode -Off } catch { }

$script:MyModule = $MyInvocation.MyCommand.ScriptBlock.Module

$script:ClassName = 'ROOT\Microsoft\Windows\Defender\MSFT_MpSignature'
$script:ClassVersion = '1.0'
$script:ModuleVersion = '1.0'
$script"
"TFM_FP_20260618_151316","2026-06-18T13:13:20Z","True","False","UNKNOWN","P3","TEC-006","TEC-006 Security Software Discovery","MEDIUM","HIGH","Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1/TEC006_SecuritySoftwareDiscovery_4104","Microsoft-Windows-PowerShell/Operational","FP medio/comportamental","
#requires -version 3.0

try { Microsoft.PowerShell.Core\Set-StrictMode -Off } catch { }

$script:MyModule = $MyInvocation.MyCommand.ScriptBlock.Module

$script:ClassName = 'ROOT\Microsoft\Windows\Defender\MSFT_MpWDOScan'
$script:ClassVersion = '1.0'
$script:ModuleVersion = '1.0'
$script:O"
"TFM_FP_20260618_151316","2026-06-18T13:13:23Z","True","False","UNKNOWN","P4","TEC-002","Windows Command Shell suspicious execution - basic profile v2","Medium","Medium","Custom.TFM.HIDS.P4.Low.Basic_v2/CU002_Source_TEC002_CMD_Basic","Microsoft-Windows-Sysmon/Operational","FP leve/visibilidad","""C:\Windows\system32\cmd.exe"" /c ""dir ""C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260618_151244"""""
"TFM_FP_20260618_151316","2026-06-18T13:13:21Z","True","False","UNKNOWN","P3","TEC-006","TEC-006 Security Software Discovery","MEDIUM","HIGH","Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1/TEC006_SecuritySoftwareDiscovery_4104","Microsoft-Windows-PowerShell/Operational","FP medio/comportamental","
#requires -version 3.0

try { Microsoft.PowerShell.Core\Set-StrictMode -Off } catch { }

$script:MyModule = $MyInvocation.MyCommand.ScriptBlock.Module

$script:ClassName = 'ROOT\Microsoft\Windows\Defender\MSFT_MpRollback'
$script:ClassVersion = '1.0'
$script:ModuleVersion = '1.0'
$script:"
"TFM_FP_20260618_151316","2026-06-18T13:13:23Z","True","False","UNKNOWN","P4","TEC-002","Windows Command Shell suspicious execution - basic profile v2","Medium","Medium","Custom.TFM.HIDS.P4.Low.Basic_v2/CU002_Source_TEC002_CMD_Basic","Microsoft-Windows-Sysmon/Operational","FP leve/visibilidad","""C:\Windows\system32\cmd.exe"" /c whoami"
"TFM_FP_20260618_151316","2026-06-18T13:13:23Z","True","False","UNKNOWN","P4","TEC-002","Windows Command Shell suspicious execution - basic profile v2","Medium","Medium","Custom.TFM.HIDS.P4.Low.Basic_v2/CU002_Source_TEC002_CMD_Basic","Microsoft-Windows-Sysmon/Operational","FP leve/visibilidad","""C:\Windows\system32\cmd.exe"" /c hostname"
"TFM_FP_20260618_151316","2026-06-18T13:13:25Z","True","False","FP-002","P4","TEC-002","Windows Command Shell suspicious execution - basic profile v2","Medium","Medium","Custom.TFM.HIDS.P4.Low.Basic_v2/CU002_Source_TEC002_CMD_Basic","Microsoft-Windows-Sysmon/Operational","FP leve/visibilidad","""C:\Windows\system32\cmd.exe"" /c ""echo TFM_FP_20260618_151244 FP-002"""
"TFM_FP_20260618_151316","2026-06-18T13:13:26Z","True","False","FP-003","P4","TEC-002","Windows Command Shell suspicious execution - basic profile v2","Medium","Medium","Custom.TFM.HIDS.P4.Low.Basic_v2/CU002_Source_TEC002_CMD_Basic","Microsoft-Windows-Sysmon/Operational","FP leve/visibilidad","""cmd.exe"" /c echo TFM_FP_20260618_151244 FP-003 scheduled task ok > C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260618_151244\FP-003_scheduled_task_ok.txt"
