"relative_path","extension","bytes","last_write_time","sha256","sheet_or_dataset","visibility","used_range","rows","columns","purpose","duplicate_group","notes"
"01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx",".xlsx","22891","2026-06-18T19:56:30.7777144+02:00","447ADC202DB81C9BC8D6123555D850239A48A625185DF046091E277B27D9D23D","RESUMEN_EJECUTIVO","Visible","A1:E20","20","5","Resumen ejecutivo y KPI","",""
"01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx",".xlsx","22891","2026-06-18T19:56:30.7777144+02:00","447ADC202DB81C9BC8D6123555D850239A48A625185DF046091E277B27D9D23D","TEC_ATTACK_VALIDATION","Visible","A1:I12","12","9","Matriz TEC-001..TEC-009","",""
"01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx",".xlsx","22891","2026-06-18T19:56:30.7777144+02:00","447ADC202DB81C9BC8D6123555D850239A48A625185DF046091E277B27D9D23D","FP_TEST_MATRIX","Visible","A1:K13","13","11","Resultados por prueba benigna","",""
"01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx",".xlsx","22891","2026-06-18T19:56:30.7777144+02:00","447ADC202DB81C9BC8D6123555D850239A48A625185DF046091E277B27D9D23D","FP_HITS_RAW","Visible","A1:N18","18","14","Alertas FP brutas y calidad de asociación","",""
"01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx",".xlsx","22891","2026-06-18T19:56:30.7777144+02:00","447ADC202DB81C9BC8D6123555D850239A48A625185DF046091E277B27D9D23D","METRICAS","Visible","A1:E42","42","5","Métricas derivadas y agregados","",""
"01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx",".xlsx","22891","2026-06-18T19:56:30.7777144+02:00","447ADC202DB81C9BC8D6123555D850239A48A625185DF046091E277B27D9D23D","GRAFICAS","Visible","A1:K24","24","11","Rangos auxiliares y gráficos","",""
"01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx",".xlsx","22891","2026-06-18T19:56:30.7777144+02:00","447ADC202DB81C9BC8D6123555D850239A48A625185DF046091E277B27D9D23D","CONCLUSIONES","Visible","A1:A10","10","1","Conclusiones técnicas","",""
"01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx",".xlsx","22891","2026-06-18T19:56:30.7777144+02:00","447ADC202DB81C9BC8D6123555D850239A48A625185DF046091E277B27D9D23D","TRAZABILIDAD","Visible","A1:E21","21","5","Fuentes y hashes","",""
"02_BENCHMARK_RENDIMIENTO_VALIDACION_DATOS.xlsx",".xlsx","67401","2026-06-18T19:52:24.3750353+02:00","69C8250785F2469F3BCD9C8BA0C03E9101FDA6510BA69F378920D7014389E3D6","RESUMEN_EJECUTIVO","Visible","A1:D9","9","4","Resumen ejecutivo y KPI","",""
"02_BENCHMARK_RENDIMIENTO_VALIDACION_DATOS.xlsx",".xlsx","67401","2026-06-18T19:52:24.3750353+02:00","69C8250785F2469F3BCD9C8BA0C03E9101FDA6510BA69F378920D7014389E3D6","SCENARIO_SUMMARY","Visible","A1:R4","4","18","Resumen de escenarios de benchmark","",""
"02_BENCHMARK_RENDIMIENTO_VALIDACION_DATOS.xlsx",".xlsx","67401","2026-06-18T19:52:24.3750353+02:00","69C8250785F2469F3BCD9C8BA0C03E9101FDA6510BA69F378920D7014389E3D6","CALIDAD_DATOS","Visible","A1:C9","9","3","Controles de validez del benchmark","",""
"02_BENCHMARK_RENDIMIENTO_VALIDACION_DATOS.xlsx",".xlsx","67401","2026-06-18T19:52:24.3750353+02:00","69C8250785F2469F3BCD9C8BA0C03E9101FDA6510BA69F378920D7014389E3D6","PROCESS_ROLES","Visible","A1:K698","698","11","Clasificación de procesos por rol","",""
"02_BENCHMARK_RENDIMIENTO_VALIDACION_DATOS.xlsx",".xlsx","67401","2026-06-18T19:52:24.3750353+02:00","69C8250785F2469F3BCD9C8BA0C03E9101FDA6510BA69F378920D7014389E3D6","RAW_SAMPLES","Visible","A1:N261","261","14","Muestras legacy normalizadas","",""
"02_BENCHMARK_RENDIMIENTO_VALIDACION_DATOS.xlsx",".xlsx","67401","2026-06-18T19:52:24.3750353+02:00","69C8250785F2469F3BCD9C8BA0C03E9101FDA6510BA69F378920D7014389E3D6","GRAFICAS","Visible","A1:K7","7","11","Rangos auxiliares y gráficos","",""
"02_BENCHMARK_RENDIMIENTO_VALIDACION_DATOS.xlsx",".xlsx","67401","2026-06-18T19:52:24.3750353+02:00","69C8250785F2469F3BCD9C8BA0C03E9101FDA6510BA69F378920D7014389E3D6","CONCLUSIONES","Visible","A1:C7","7","3","Conclusiones técnicas","",""
"02_BENCHMARK_RENDIMIENTO_VALIDACION_DATOS.xlsx",".xlsx","67401","2026-06-18T19:52:24.3750353+02:00","69C8250785F2469F3BCD9C8BA0C03E9101FDA6510BA69F378920D7014389E3D6","TRAZABILIDAD","Visible","A1:D31","31","4","Fuentes y hashes","",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","00_Guia","Visible","A1:Z200","200","26","Guía de uso","DG01",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","01_Dashboard","Visible","A1:Z200","200","26","Dashboard","DG01",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","02_Seleccion_Tecnicas","Visible","A1:Z200","200","26","Selección de técnicas","DG01",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","03_Evaluacion_VR","Visible","A1:Z200","200","26","Evaluación de Velociraptor","DG01",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","04_Control_Publicos","Visible","A1:AE200","200","31","Control de artifacts públicos","DG01",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","05_Matriz_Resultados","Visible","A1:Z200","200","26","Matriz histórica de resultados","DG01",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","06_Resumen","Visible","A1:Z200","200","26","Resumen histórico","DG01",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","07_Catalogo_Artifacts","Visible","A1:Z200","200","26","Catálogo de artifacts","DG01",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","08_Benignas_FP","Visible","A1:Z200","200","26","Plan/resultado benigno histórico","DG01",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","09_Benchmark_Plan","Visible","A1:Z200","200","26","Plan histórico de benchmark","DG01",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","10_Gaps_Custom_P1P4","Visible","A1:Z200","200","26","Gaps de cobertura custom","DG01",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","99_Listas","Visible","A1:Z200","200","26","Listas auxiliares","DG01",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","11_Alertabilidad","Visible","A1:G22","22","7","Modelo de alertabilidad","DG01",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","12_Plan_Alertas","Visible","A1:H22","22","8","Plan de alertas públicas","DG01",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","13_Hayabusa_Resumen","Visible","A1:D19","19","4","Resumen Hayabusa","DG01",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","14_Arquitectura_Custom","Visible","A1:G21","21","7","Arquitectura custom histórica","DG01",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","15_Publicos_Definitivo","Visible","A1:I13","13","9","Matriz histórica de artifacts públicos","DG01",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","16_Scripts_Validados","Visible","A1:E11","11","5","Scripts históricos revisados","DG01",""
"03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx",".xlsx","179555","2026-05-15T13:16:36.7033543+02:00","653133D7761363E435FB37CAF2BF70E914231D8704F45B64A945282732830C03","17_Incoherencias_Cerradas","Visible","A1:D14","14","4","Decisiones históricas","DG01",""
"04_ANALISIS_ARTIFACTS_PUBLICOS_REFERENCIA.xlsx",".xlsx","37822","2026-05-13T12:11:12.0042460+02:00","CD1C04BAF76372195014E8DF0018D11B2E3CF94A9B51444A0A7EC7EEC9D4F151","00_Guia","Visible","A1:H22","22","8","Guía de uso","DG02",""
"04_ANALISIS_ARTIFACTS_PUBLICOS_REFERENCIA.xlsx",".xlsx","37822","2026-05-13T12:11:12.0042460+02:00","CD1C04BAF76372195014E8DF0018D11B2E3CF94A9B51444A0A7EC7EEC9D4F151","01_Dashboard","Visible","A1:L20","20","12","Dashboard","DG02",""
"04_ANALISIS_ARTIFACTS_PUBLICOS_REFERENCIA.xlsx",".xlsx","37822","2026-05-13T12:11:12.0042460+02:00","CD1C04BAF76372195014E8DF0018D11B2E3CF94A9B51444A0A7EC7EEC9D4F151","02_Control_Pruebas","Visible","A1:AF51","51","32","Plan de pruebas públicas","DG02",""
"04_ANALISIS_ARTIFACTS_PUBLICOS_REFERENCIA.xlsx",".xlsx","37822","2026-05-13T12:11:12.0042460+02:00","CD1C04BAF76372195014E8DF0018D11B2E3CF94A9B51444A0A7EC7EEC9D4F151","03_Matriz_TEC","Visible","A1:M12","12","13","Matriz de cobertura pública","DG02",""
"04_ANALISIS_ARTIFACTS_PUBLICOS_REFERENCIA.xlsx",".xlsx","37822","2026-05-13T12:11:12.0042460+02:00","CD1C04BAF76372195014E8DF0018D11B2E3CF94A9B51444A0A7EC7EEC9D4F151","04_Catalogo_Artifacts","Visible","A1:L17","17","12","Catálogo de artifacts públicos","DG02",""
"04_ANALISIS_ARTIFACTS_PUBLICOS_REFERENCIA.xlsx",".xlsx","37822","2026-05-13T12:11:12.0042460+02:00","CD1C04BAF76372195014E8DF0018D11B2E3CF94A9B51444A0A7EC7EEC9D4F151","05_Tecnicas_MITRE","Visible","A1:G12","12","7","Catálogo MITRE","DG02",""
"04_ANALISIS_ARTIFACTS_PUBLICOS_REFERENCIA.xlsx",".xlsx","37822","2026-05-13T12:11:12.0042460+02:00","CD1C04BAF76372195014E8DF0018D11B2E3CF94A9B51444A0A7EC7EEC9D4F151","06_Gaps_Custom","Visible","A1:K8","8","11","Gaps para custom","DG02",""
"04_ANALISIS_ARTIFACTS_PUBLICOS_REFERENCIA.xlsx",".xlsx","37822","2026-05-13T12:11:12.0042460+02:00","CD1C04BAF76372195014E8DF0018D11B2E3CF94A9B51444A0A7EC7EEC9D4F151","99_Listas","Visible","A1:H7","7","8","Listas auxiliares","DG02",""
"04_ANALISIS_ARTIFACTS_PUBLICOS_REFERENCIA.xlsx",".xlsx","37822","2026-05-13T12:11:12.0042460+02:00","CD1C04BAF76372195014E8DF0018D11B2E3CF94A9B51444A0A7EC7EEC9D4F151","07_Benignas_FP","Visible","A1:L19","19","12","Plan benigno/FP","DG02",""
"fuentes_analisis\Analisis_Artifacts_Publicos_Velociraptor_TFM_10_10_ORIGINAL.xlsx",".xlsx","37822","2026-05-13T12:11:12.0042460+02:00","CD1C04BAF76372195014E8DF0018D11B2E3CF94A9B51444A0A7EC7EEC9D4F151","00_Guia","Visible","A1:H22","22","8","Guía de uso","DG02","Contenido byte a byte idéntico al libro superior indicado por el hash."
"fuentes_analisis\Analisis_Artifacts_Publicos_Velociraptor_TFM_10_10_ORIGINAL.xlsx",".xlsx","37822","2026-05-13T12:11:12.0042460+02:00","CD1C04BAF76372195014E8DF0018D11B2E3CF94A9B51444A0A7EC7EEC9D4F151","01_Dashboard","Visible","A1:L20","20","12","Dashboard","DG02","Contenido byte a byte idéntico al libro superior indicado por el hash."
"fuentes_analisis\Analisis_Artifacts_Publicos_Velociraptor_TFM_10_10_ORIGINAL.xlsx",".xlsx","37822","2026-05-13T12:11:12.0042460+02:00","CD1C04BAF76372195014E8DF0018D11B2E3CF94A9B51444A0A7EC7EEC9D4F151","02_Control_Pruebas","Visible","A1:AF51","51","32","Plan de pruebas públicas","DG02","Contenido byte a byte idéntico al libro superior indicado por el hash."
"fuentes_analisis\Analisis_Artifacts_Publicos_Velociraptor_TFM_10_10_ORIGINAL.xlsx",".xlsx","37822","2026-05-13T12:11:12.0042460+02:00","CD1C04BAF76372195014E8DF0018D11B2E3CF94A9B51444A0A7EC7EEC9D4F151","03_Matriz_TEC","Visible","A1:M12","12","13","Matriz de cobertura pública","DG02","Contenido byte a byte idéntico al libro superior indicado por el hash."
