ruta,filas,real,fp,fuera,sin_tiempo,min,max
05_LOGS\Validas\Prueba_24_06_2026\CU001_Source_TEC001_PowerShell_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,518,38,0,480,0,2026-06-17T18:48:28.697Z,2026-06-24T12:55:42.311Z
05_LOGS\Validas\Prueba_24_06_2026\CU002_Source_TEC002_CMD_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,979,78,0,901,0,2026-06-17T18:48:28.451Z,2026-06-24T12:55:41.845Z
05_LOGS\Validas\Prueba_24_06_2026\CU003_Source_TEC003_ScheduledTask_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,145,8,0,137,0,2026-06-17T18:48:28.473Z,2026-06-24T12:51:22.687Z
05_LOGS\Validas\Prueba_24_06_2026\CU004_Source_TEC004_RunKeys_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,95,8,0,87,0,2026-06-17T18:48:28.624Z,2026-06-24T12:51:38.812Z
05_LOGS\Validas\Prueba_24_06_2026\CU005_Source_TEC005_ServiceCreation_7045-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,12,1,0,11,0,2026-06-17T18:50:13.204Z,2026-06-24T12:51:51.589Z
05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_PowerShell4104_Strong_By_Technique-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,123,4,0,119,0,2026-06-17T18:49:10.697Z,2026-06-24T12:54:37.594Z
05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_Sysmon_ID1_Process_By_Technique-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,1546,108,0,1438,0,2026-06-17T13:19:13.170Z,2026-06-24T13:10:12.035Z
05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_Sysmon_Registry_File_Network_Context-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,78,5,0,73,0,2026-06-17T18:51:50.642Z,2026-06-24T12:56:28.333Z
05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_System_7045_ServiceCreation-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,12,1,0,11,0,2026-06-17T18:50:13.204Z,2026-06-24T12:51:51.589Z
05_LOGS\Validas\Prueba_24_06_2026\P1_EVENT_PowerShell4104_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,11924,2,0,11922,0,2026-06-17T18:46:52.825Z,2026-06-24T12:53:42.608Z
05_LOGS\Validas\Prueba_24_06_2026\P1_EVENT_Sysmon_ID1_Process_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,186,12,0,174,0,2026-06-17T13:19:13.240Z,2026-06-24T12:54:20.862Z
05_LOGS\Validas\Prueba_24_06_2026\P1_EVENT_System7045_ServiceCreation-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,10,1,0,9,0,2026-06-17T18:50:13.204Z,2026-06-24T12:51:51.589Z
05_LOGS\Validas\Prueba_24_06_2026\P1_EVENT_TEC009_Sysmon_Context-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv,24,4,0,20,0,2026-06-17T18:54:14.582Z,2026-06-24T12:54:21.811Z
