"RunId","FP_ID","Description","Status","StartTimeLocal","EndTimeLocal","DurationSec","Artifacts","Details"
"TFM_FP_20260712_140147","FP-001","PowerShell administrativo legitimo","OK","2026-07-12T14:01:47.2943524+02:00","2026-07-12T14:01:48.0780047+02:00","0,78","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_140147\FP-001_benign.txt","PowerShell administrative commands completed"
"TFM_FP_20260712_140147","FP-002","CMD legitimo","OK","2026-07-12T14:01:48.0864075+02:00","2026-07-12T14:01:48.4729607+02:00","0,39","","cmd /c dir ""C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_140147"" => 0 | cmd /c whoami => 0 | cmd /c hostname => 0 | cmd /c echo TFM_FP_20260712_140147 FP-002 => 0"
"TFM_FP_20260712_140147","FP-003","Scheduled Task benigno temporal","OK","2026-07-12T14:01:48.4842671+02:00","2026-07-12T14:01:50.9474434+02:00","2,46","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_140147\FP-003_scheduled_task_ok.txt","create=0; run=0; delete=0"
"TFM_FP_20260712_140147","FP-004","Registro benigno no persistente","OK","2026-07-12T14:01:50.9589979+02:00","2026-07-12T14:01:51.0349920+02:00","0,08","","HKCU:\Software\TFM_FP\TFM_FP_20260712_140147 created, read and removed"
"TFM_FP_20260712_140147","FP-005","Consulta de servicios","OK","2026-07-12T14:01:51.0485351+02:00","2026-07-12T14:01:51.7393895+02:00","0,69","","Service query commands completed"
"TFM_FP_20260712_140147","FP-006","Discovery legitimo de seguridad","OK","2026-07-12T14:01:51.7393895+02:00","2026-07-12T14:01:53.7530433+02:00","2,01","","Security status queries completed"
"TFM_FP_20260712_140147","FP-007","ZIP benigno local","OK","2026-07-12T14:01:53.7530433+02:00","2026-07-12T14:01:55.5789717+02:00","1,83","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_140147\FP-007; C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_140147\FP-007_benign_archive.zip","Local ZIP created without web transfer"
"TFM_FP_20260712_140147","FP-008","Borrado benigno controlado","OK","2026-07-12T14:01:55.5789717+02:00","2026-07-12T14:01:56.7432125+02:00","1,16","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_140147\FP-008","Only the controlled workspace subfolder was deleted"
"TFM_FP_20260712_140147","FP-009","HTTP benigno local","SKIPPED","2026-07-12T14:01:56.7432125+02:00","2026-07-12T14:02:01.3705198+02:00","4,63","","No local HTTP listener on 127.0.0.1:80; Test-NetConnection completed"
"TFM_FP_20260712_140147","FP-010","Operaciones normales masivas","OK","2026-07-12T14:02:01.3879463+02:00","2026-07-12T14:02:01.6612443+02:00","0,27","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_140147\FP-010; C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_140147\FP-010\copy","20 files created, copied and partially renamed"
