"RunId","FP_ID","Description","Status","StartTimeLocal","EndTimeLocal","DurationSec","Artifacts","Details"
"TFM_FP_20260712_143757","FP-001","PowerShell administrativo legitimo","OK","2026-07-12T14:37:57.1705770+02:00","2026-07-12T14:37:58.1638812+02:00","0,99","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_143757\FP-001_benign.txt","PowerShell administrative commands completed"
"TFM_FP_20260712_143757","FP-002","CMD legitimo","OK","2026-07-12T14:37:58.1638812+02:00","2026-07-12T14:37:58.5415137+02:00","0,38","","cmd /c dir ""C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_143757"" => 0 | cmd /c whoami => 0 | cmd /c hostname => 0 | cmd /c echo TFM_FP_20260712_143757 FP-002 => 0"
"TFM_FP_20260712_143757","FP-003","Scheduled Task benigno temporal","OK","2026-07-12T14:37:58.5575758+02:00","2026-07-12T14:38:03.3890261+02:00","4,83","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_143757\FP-003_scheduled_task_ok.txt","create=0; run=0; delete=0"
"TFM_FP_20260712_143757","FP-004","Registro benigno no persistente","OK","2026-07-12T14:38:03.4111166+02:00","2026-07-12T14:38:03.4354007+02:00","0,02","","HKCU:\Software\TFM_FP\TFM_FP_20260712_143757 created, read and removed"
"TFM_FP_20260712_143757","FP-005","Consulta de servicios","OK","2026-07-12T14:38:03.4577573+02:00","2026-07-12T14:38:04.4707087+02:00","1,01","","Service query commands completed"
"TFM_FP_20260712_143757","FP-006","Discovery legitimo de seguridad","OK","2026-07-12T14:38:04.4807985+02:00","2026-07-12T14:38:06.6005201+02:00","2,12","","Security status queries completed"
"TFM_FP_20260712_143757","FP-007","ZIP benigno local","OK","2026-07-12T14:38:06.6005201+02:00","2026-07-12T14:38:08.1502979+02:00","1,55","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_143757\FP-007; C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_143757\FP-007_benign_archive.zip","Local ZIP created without web transfer"
"TFM_FP_20260712_143757","FP-008","Borrado benigno controlado","OK","2026-07-12T14:38:08.1502979+02:00","2026-07-12T14:38:09.6328146+02:00","1,48","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_143757\FP-008","Only the controlled workspace subfolder was deleted"
"TFM_FP_20260712_143757","FP-009","HTTP benigno local","SKIPPED","2026-07-12T14:38:09.6800441+02:00","2026-07-12T14:38:16.1730220+02:00","6,49","","No local HTTP listener on 127.0.0.1:80; Test-NetConnection completed"
"TFM_FP_20260712_143757","FP-010","Operaciones normales masivas","OK","2026-07-12T14:38:16.2056025+02:00","2026-07-12T14:38:16.4633244+02:00","0,26","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_143757\FP-010; C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_143757\FP-010\copy","20 files created, copied and partially renamed"
