"RunId","FP_ID","Description","Status","StartTimeLocal","EndTimeLocal","DurationSec","Artifacts","Details"
"TFM_FP_20260712_145541","FP-001","PowerShell administrativo legitimo","OK","2026-07-12T14:55:41.4986668+02:00","2026-07-12T14:55:42.5009863+02:00","1","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_145541\FP-001_benign.txt","PowerShell administrative commands completed"
"TFM_FP_20260712_145541","FP-002","CMD legitimo","OK","2026-07-12T14:55:42.5236931+02:00","2026-07-12T14:55:42.8688836+02:00","0,35","","cmd /c dir ""C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_145541"" => 0 | cmd /c whoami => 0 | cmd /c hostname => 0 | cmd /c echo TFM_FP_20260712_145541 FP-002 => 0"
"TFM_FP_20260712_145541","FP-003","Scheduled Task benigno temporal","OK","2026-07-12T14:55:42.8731109+02:00","2026-07-12T14:55:46.8244287+02:00","3,95","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_145541\FP-003_scheduled_task_ok.txt","create=0; run=0; delete=0"
"TFM_FP_20260712_145541","FP-004","Registro benigno no persistente","OK","2026-07-12T14:55:46.8437159+02:00","2026-07-12T14:55:46.9153396+02:00","0,07","","HKCU:\Software\TFM_FP\TFM_FP_20260712_145541 created, read and removed"
"TFM_FP_20260712_145541","FP-005","Consulta de servicios","OK","2026-07-12T14:55:47.0132696+02:00","2026-07-12T14:55:48.0636035+02:00","1,05","","Service query commands completed"
"TFM_FP_20260712_145541","FP-006","Discovery legitimo de seguridad","OK","2026-07-12T14:55:48.0636035+02:00","2026-07-12T14:55:49.9110996+02:00","1,85","","Security status queries completed"
"TFM_FP_20260712_145541","FP-007","ZIP benigno local","OK","2026-07-12T14:55:49.9110996+02:00","2026-07-12T14:55:51.0627519+02:00","1,15","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_145541\FP-007; C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_145541\FP-007_benign_archive.zip","Local ZIP created without web transfer"
"TFM_FP_20260712_145541","FP-008","Borrado benigno controlado","OK","2026-07-12T14:55:51.2169647+02:00","2026-07-12T14:55:52.4984819+02:00","1,28","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_145541\FP-008","Only the controlled workspace subfolder was deleted"
"TFM_FP_20260712_145541","FP-009","HTTP benigno local","SKIPPED","2026-07-12T14:55:52.5251038+02:00","2026-07-12T14:55:58.1034995+02:00","5,58","","No local HTTP listener on 127.0.0.1:80; Test-NetConnection completed"
"TFM_FP_20260712_145541","FP-010","Operaciones normales masivas","OK","2026-07-12T14:55:58.2142280+02:00","2026-07-12T14:55:58.5148172+02:00","0,3","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_145541\FP-010; C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_145541\FP-010\copy","20 files created, copied and partially renamed"
