"RunId","FP_ID","Description","Status","StartTimeLocal","EndTimeLocal","DurationSec","Artifacts","Details"
"TFM_FP_20260712_154100","FP-001","PowerShell administrativo legitimo","OK","2026-07-12T15:41:00.4706286+02:00","2026-07-12T15:41:01.5825335+02:00","1,11","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_154100\FP-001_benign.txt","PowerShell administrative commands completed"
"TFM_FP_20260712_154100","FP-002","CMD legitimo","OK","2026-07-12T15:41:01.5969555+02:00","2026-07-12T15:41:01.9699427+02:00","0,37","","cmd /c dir ""C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_154100"" => 0 | cmd /c whoami => 0 | cmd /c hostname => 0 | cmd /c echo TFM_FP_20260712_154100 FP-002 => 0"
"TFM_FP_20260712_154100","FP-003","Scheduled Task benigno temporal","OK","2026-07-12T15:41:01.9892118+02:00","2026-07-12T15:41:05.5852115+02:00","3,6","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_154100\FP-003_scheduled_task_ok.txt","create=0; run=0; delete=0"
"TFM_FP_20260712_154100","FP-004","Registro benigno no persistente","OK","2026-07-12T15:41:05.6082988+02:00","2026-07-12T15:41:05.6082988+02:00","0","","HKCU:\Software\TFM_FP\TFM_FP_20260712_154100 created, read and removed"
"TFM_FP_20260712_154100","FP-005","Consulta de servicios","OK","2026-07-12T15:41:05.6082988+02:00","2026-07-12T15:41:06.2823052+02:00","0,67","","Service query commands completed"
"TFM_FP_20260712_154100","FP-006","Discovery legitimo de seguridad","OK","2026-07-12T15:41:06.2991024+02:00","2026-07-12T15:41:07.6916875+02:00","1,39","","Security status queries completed"
"TFM_FP_20260712_154100","FP-007","ZIP benigno local","OK","2026-07-12T15:41:07.7228211+02:00","2026-07-12T15:41:08.5864960+02:00","0,86","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_154100\FP-007; C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_154100\FP-007_benign_archive.zip","Local ZIP created without web transfer"
"TFM_FP_20260712_154100","FP-008","Borrado benigno controlado","OK","2026-07-12T15:41:08.6054827+02:00","2026-07-12T15:41:09.3915203+02:00","0,79","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_154100\FP-008","Only the controlled workspace subfolder was deleted"
"TFM_FP_20260712_154100","FP-009","HTTP benigno local","SKIPPED","2026-07-12T15:41:09.4110680+02:00","2026-07-12T15:41:14.2545222+02:00","4,84","","No local HTTP listener on 127.0.0.1:80; Test-NetConnection completed"
"TFM_FP_20260712_154100","FP-010","Operaciones normales masivas","OK","2026-07-12T15:41:14.2865733+02:00","2026-07-12T15:41:14.4174744+02:00","0,13","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_154100\FP-010; C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_154100\FP-010\copy","20 files created, copied and partially renamed"
