"RunId","FP_ID","Description","Status","StartTimeLocal","EndTimeLocal","DurationSec","Artifacts","Details"
"TFM_FP_20260712_163220","FP-001","PowerShell administrativo legitimo","OK","2026-07-12T16:32:20.3776049+02:00","2026-07-12T16:32:21.1704263+02:00","0,79","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_163220\FP-001_benign.txt","PowerShell administrative commands completed"
"TFM_FP_20260712_163220","FP-002","CMD legitimo","OK","2026-07-12T16:32:21.1906021+02:00","2026-07-12T16:32:21.6758394+02:00","0,49","","cmd /c dir ""C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_163220"" => 0 | cmd /c whoami => 0 | cmd /c hostname => 0 | cmd /c echo TFM_FP_20260712_163220 FP-002 => 0"
"TFM_FP_20260712_163220","FP-003","Scheduled Task benigno temporal","OK","2026-07-12T16:32:21.6888137+02:00","2026-07-12T16:32:25.0145219+02:00","3,33","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_163220\FP-003_scheduled_task_ok.txt","create=0; run=0; delete=0"
"TFM_FP_20260712_163220","FP-004","Registro benigno no persistente","OK","2026-07-12T16:32:25.0307163+02:00","2026-07-12T16:32:25.0353763+02:00","0","","HKCU:\Software\TFM_FP\TFM_FP_20260712_163220 created, read and removed"
"TFM_FP_20260712_163220","FP-005","Consulta de servicios","OK","2026-07-12T16:32:25.0560826+02:00","2026-07-12T16:32:26.2381586+02:00","1,18","","Service query commands completed"
"TFM_FP_20260712_163220","FP-006","Discovery legitimo de seguridad","OK","2026-07-12T16:32:26.2530313+02:00","2026-07-12T16:32:28.7204869+02:00","2,47","","Security status queries completed"
"TFM_FP_20260712_163220","FP-007","ZIP benigno local","OK","2026-07-12T16:32:28.7413572+02:00","2026-07-12T16:32:32.2828578+02:00","3,54","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_163220\FP-007; C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_163220\FP-007_benign_archive.zip","Local ZIP created without web transfer"
"TFM_FP_20260712_163220","FP-008","Borrado benigno controlado","OK","2026-07-12T16:32:32.2941825+02:00","2026-07-12T16:32:33.6819749+02:00","1,39","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_163220\FP-008","Only the controlled workspace subfolder was deleted"
"TFM_FP_20260712_163220","FP-009","HTTP benigno local","SKIPPED","2026-07-12T16:32:33.7159469+02:00","2026-07-12T16:32:39.9917585+02:00","6,28","","No local HTTP listener on 127.0.0.1:80; Test-NetConnection completed"
"TFM_FP_20260712_163220","FP-010","Operaciones normales masivas","OK","2026-07-12T16:32:40.0402595+02:00","2026-07-12T16:32:40.3826094+02:00","0,34","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_163220\FP-010; C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_163220\FP-010\copy","20 files created, copied and partially renamed"
