"RunId","FP_ID","Description","Status","StartTimeLocal","EndTimeLocal","DurationSec","Artifacts","Details"
"TFM_FP_20260712_165239","FP-001","PowerShell administrativo legitimo","OK","2026-07-12T16:52:39.4206521+02:00","2026-07-12T16:52:40.1307039+02:00","0,71","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_165239\FP-001_benign.txt","PowerShell administrative commands completed"
"TFM_FP_20260712_165239","FP-002","CMD legitimo","OK","2026-07-12T16:52:40.1397849+02:00","2026-07-12T16:52:40.4810843+02:00","0,34","","cmd /c dir ""C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_165239"" => 0 | cmd /c whoami => 0 | cmd /c hostname => 0 | cmd /c echo TFM_FP_20260712_165239 FP-002 => 0"
"TFM_FP_20260712_165239","FP-003","Scheduled Task benigno temporal","OK","2026-07-12T16:52:40.4867568+02:00","2026-07-12T16:52:43.5425018+02:00","3,06","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_165239\FP-003_scheduled_task_ok.txt","create=0; run=0; delete=0"
"TFM_FP_20260712_165239","FP-004","Registro benigno no persistente","OK","2026-07-12T16:52:43.5620142+02:00","2026-07-12T16:52:43.5884327+02:00","0,03","","HKCU:\Software\TFM_FP\TFM_FP_20260712_165239 created, read and removed"
"TFM_FP_20260712_165239","FP-005","Consulta de servicios","OK","2026-07-12T16:52:43.6096866+02:00","2026-07-12T16:52:44.4573285+02:00","0,85","","Service query commands completed"
"TFM_FP_20260712_165239","FP-006","Discovery legitimo de seguridad","OK","2026-07-12T16:52:44.4573285+02:00","2026-07-12T16:52:46.3180712+02:00","1,86","","Security status queries completed"
"TFM_FP_20260712_165239","FP-007","ZIP benigno local","OK","2026-07-12T16:52:46.3180712+02:00","2026-07-12T16:52:47.2214008+02:00","0,9","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_165239\FP-007; C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_165239\FP-007_benign_archive.zip","Local ZIP created without web transfer"
"TFM_FP_20260712_165239","FP-008","Borrado benigno controlado","OK","2026-07-12T16:52:47.2214008+02:00","2026-07-12T16:52:48.1346352+02:00","0,91","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_165239\FP-008","Only the controlled workspace subfolder was deleted"
"TFM_FP_20260712_165239","FP-009","HTTP benigno local","SKIPPED","2026-07-12T16:52:48.1559401+02:00","2026-07-12T16:52:51.8742757+02:00","3,72","","No local HTTP listener on 127.0.0.1:80; Test-NetConnection completed"
"TFM_FP_20260712_165239","FP-010","Operaciones normales masivas","OK","2026-07-12T16:52:51.8829269+02:00","2026-07-12T16:52:52.0712844+02:00","0,19","C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_165239\FP-010; C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260712_165239\FP-010\copy","20 files created, copied and partially renamed"
