Resultados reales de eficacia · artifacts custom P1-P4											
Recuentos derivados de ALERTAS_VR y de las campañas TEC/FP. No contiene medidas de CPU, memoria, E/S ni consumo por proceso.											
Tabla 1 · Resumen por perfil											
Perfil	Artifact principal	Sources internas ejecutadas	Técnicas cubiertas declaradas	Técnicas detectadas	Alertas CLIENT_EVENT	Porcentaje sobre total	FP hits	Función principal	Evidencia	Limitaciones	
P1	Custom.TFM.HIDS.P1.Critical.Priority.Event_v1	4	5	5	19	0.050131926121372	0	Correlación y prioridad crítica	ALERTAS_VR / alertas_vr.csv	Volumen bajo y selectivo; no equivale a menor cobertura global.	
P2	Custom.TFM.HIDS.P2.High.Forensic.Event_v1	4	9	7	118	0.311345646437995	0	Contexto forense	ALERTAS_VR / alertas_vr.csv	Source Security ScheduledTask opcional sin alertas en ventana.	
P3	Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	12	9	9	109	0.287598944591029	0	Detección de comportamiento	ALERTAS_VR / alertas_vr.csv	ZIP FileCreate sin filas; TEC-009 detectada por otras sources.	
P4	Custom.TFM.HIDS.P4.Low.Basic_v2	5	5	5	133	0.350923482849604	0	Señal básica	ALERTAS_VR / alertas_vr.csv	Alta telemetría de proceso; requiere perfiles superiores para semántica.	
TOTAL	4 detectores CLIENT_EVENT	25	9	9	379	1	0	Cobertura custom completa	dataset_summary.json	La suma de alertas es 379; una alerta no equivale a una técnica.	
											
Tabla 2 · Matriz TEC × perfil											
TEC	P1	P2	P3	P4	Total alertas	Perfil máximo	Sources principales	Señal principal	Estado de detección		
TEC-001	0	2	2	38	42	P4	CU001_Source_TEC001_PowerShell_Basic; Forensic_EVENT_PowerShell4104_Strong_By_Technique; TEC001_PowerShell_4104	PowerShell 4104 / ProcessCreation	DETECTADA		
TEC-002	0	82	54	78	214	P4	CU002_Source_TEC002_CMD_Basic; Forensic_EVENT_Sysmon_ID1_Process_By_Technique; TEC002_CMD_Sysmon	Sysmon ID 1 / CMD	DETECTADA		
TEC-003	0	6	16	8	30	P4	CU003_Source_TEC003_ScheduledTask_Basic; Forensic_EVENT_Sysmon_ID1_Process_By_Technique; TEC003_ScheduledTask_Sysmon	Sysmon ID 1 / Scheduled Task	DETECTADA		
TEC-004	4	13	12	8	37	P4	CU004_Source_TEC004_RunKeys_Basic; Forensic_EVENT_Sysmon_ID1_Process_By_Technique; Forensic_EVENT_Sysmon_Registry_File_Network_Context; P1_EVENT_Sysmon_ID1_Process_Basic; TEC004_RunKey_Sysmon	Sysmon ID 1 y 12/13	DETECTADA		
TEC-005	5	7	1	1	14	P4	CU005_Source_TEC005_ServiceCreation_7045; Forensic_EVENT_Sysmon_ID1_Process_By_Technique; Forensic_EVENT_System_7045_ServiceCreation; P1_EVENT_Sysmon_ID1_Process_Basic; P1_EVENT_System7045_ServiceCreation; TEC005_Service_System7045	System 7045 / Sysmon ID 1	DETECTADA		
TEC-006	0	6	12	0	18	P4	Forensic_EVENT_PowerShell4104_Strong_By_Technique; Forensic_EVENT_Sysmon_ID1_Process_By_Technique; TEC006_SecuritySoftwareDiscovery_4104; TEC006_SecuritySoftwareDiscovery_Sysmon	PowerShell 4104 / Sysmon ID 1	DETECTADA		
TEC-007	1	0	4	0	5	P4	P1_EVENT_PowerShell4104_Basic; TEC007_DataEncryptedForImpact_4104	PowerShell 4104	DETECTADA		
TEC-008	1	2	1	0	4	P4	Forensic_EVENT_Sysmon_ID1_Process_By_Technique; P1_EVENT_PowerShell4104_Basic; TEC008_DataDestruction_4104	PowerShell 4104 / contexto Sysmon	DETECTADA		
TEC-009	8	0	7	0	15	P4	P1_EVENT_Sysmon_ID1_Process_Basic; P1_EVENT_TEC009_Sysmon_Context; TEC009_HTTP_Network_Sysmon_Context; TEC009_HTTP_Upload_Sysmon_Process_Context; TEC009_HTTP_ZIP_Upload_4104	PowerShell 4104 / Sysmon ID 1 y 3	DETECTADA		
											
Tabla 3 · Resultados por source interna y técnica											
Artifact principal	Source interna	Perfil	TEC	MITRE	EventID	SignalType	Alertas	Campaña	Ventana UTC	Source file	Validación
Custom.TFM.HIDS.P1.Critical.Priority.Event_v1	P1_EVENT_PowerShell4104_Basic	P1	TEC-007	T1486	4104	PowerShell 4104	1	TEC_20260624	2026-06-24T12:52:55.524Z .. 2026-06-24T12:52:55.524Z	05_LOGS\Validas\Prueba_24_06_2026\P1_EVENT_PowerShell4104_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P1.Critical.Priority.Event_v1	P1_EVENT_PowerShell4104_Basic	P1	TEC-008	T1485	4104	PowerShell 4104	1	TEC_20260624	2026-06-24T12:53:42.608Z .. 2026-06-24T12:53:42.608Z	05_LOGS\Validas\Prueba_24_06_2026\P1_EVENT_PowerShell4104_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P1.Critical.Priority.Event_v1	P1_EVENT_Sysmon_ID1_Process_Basic	P1	TEC-004	T1547.001	1	Sysmon ID 1	4	TEC_20260624	2026-06-24T12:51:33.906Z .. 2026-06-24T12:51:33.952Z	05_LOGS\Validas\Prueba_24_06_2026\P1_EVENT_Sysmon_ID1_Process_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
Custom.TFM.HIDS.P1.Critical.Priority.Event_v1	P1_EVENT_Sysmon_ID1_Process_Basic	P1	TEC-005	T1569.002	1	Sysmon ID 1	4	TEC_20260624	2026-06-24T12:51:51.549Z .. 2026-06-24T12:51:51.584Z	05_LOGS\Validas\Prueba_24_06_2026\P1_EVENT_Sysmon_ID1_Process_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA
