Runner de falsos positivos											
FP-001 a FP-010; RunId TFM_FP_20260626_101948.											
											
FP_ID	descripcion	estado	inicio	fin	duracion_seg	artefactos_generados	genero_alerta_vr	perfil_generado	TEC_asociada	interpretacion	observaciones
FP-001	PowerShell administrativo legitimo	OK	2026-06-26T08:19:48.781Z	2026-06-26T08:19:49.481Z	0.7	C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260626_101948\FP-001_benign.txt	NO			Sin hits en vr_hits.csv/summary.	PowerShell administrative commands completed
FP-002	CMD legitimo	OK	2026-06-26T08:19:49.511Z	2026-06-26T08:19:49.819Z	0.31		NO			Sin hits en vr_hits.csv/summary.	cmd /c dir "C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260626_101948" => 0 | cmd /c whoami => 0 | cmd /c hostname => 0 | cmd /c echo TFM_FP_20260626_101948 FP-002 => 0
FP-003	Scheduled Task benigno temporal	OK	2026-06-26T08:19:49.833Z	2026-06-26T08:19:52.726Z	2.89	C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260626_101948\FP-003_scheduled_task_ok.txt	NO			Sin hits en vr_hits.csv/summary.	create=0; run=0; delete=0
FP-004	Registro benigno no persistente	OK	2026-06-26T08:19:52.739Z	2026-06-26T08:19:52.774Z	0.03		NO			Sin hits en vr_hits.csv/summary.	HKCU:\Software\TFM_FP\TFM_FP_20260626_101948 created, read and removed
FP-005	Consulta de servicios	OK	2026-06-26T08:19:52.781Z	2026-06-26T08:19:53.422Z	0.64		NO			Sin hits en vr_hits.csv/summary.	Service query commands completed
FP-006	Discovery legitimo de seguridad	OK	2026-06-26T08:19:53.438Z	2026-06-26T08:19:54.841Z	1.4		NO			Sin hits en vr_hits.csv/summary.	Security status queries completed
FP-007	ZIP benigno local	OK	2026-06-26T08:19:54.864Z	2026-06-26T08:19:57.188Z	2.32	C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260626_101948\FP-007; C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260626_101948\FP-007_benign_archive.zip	NO			Sin hits en vr_hits.csv/summary.	Local ZIP created without web transfer
FP-008	Borrado benigno controlado	OK	2026-06-26T08:19:57.211Z	2026-06-26T08:19:57.869Z	0.66	C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260626_101948\FP-008	NO			Sin hits en vr_hits.csv/summary.	Only the controlled workspace subfolder was deleted
FP-009	HTTP benigno local	OK	2026-06-26T08:19:57.879Z	2026-06-26T08:20:01.434Z	3.56		NO			Sin hits en vr_hits.csv/summary.	Local HTTP GET completed
FP-010	Operaciones normales masivas	OK	2026-06-26T08:20:01.459Z	2026-06-26T08:20:01.704Z	0.25	C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260626_101948\FP-010; C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\FP_WORKSPACE\TFM_FP_20260626_101948\FP-010\copy	NO			Sin hits en vr_hits.csv/summary.	20 files created, copied and partially renamed
