Fuentes analizadas y trazabilidad SHA-256									
Prioridad: evidencia normalizada, campañas reales, artifacts validados y maestro actual. Los Excel históricos se usan solo como contraste.									
ID	Tipo	Fichero	Ruta relativa	Fecha	Tamaño	SHA-256	Uso	Hoja o métrica derivada	Estado
F-0001	xlsx	Analisis_Tecnicas_TFM_V.4.xlsx	04_EVIDENCE\Analisis_Tecnicas_TFM_V.4.xlsx	2026-05-15T11:16:36.703Z	179555	653133d7761363e435fb37caf2bf70e914231d8704f45b64a945282732830c03	EXCEL_BASE_V4	BASE	USADA
F-0002	csv	CU001_Source_TEC001_PowerShell_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	05_LOGS\Validas\Prueba_24_06_2026\CU001_Source_TEC001_PowerShell_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	2026-06-24T13:11:20.405Z	780015	d2a26924103c0030715e2f015c8593be3a653488163298e429c19b653acd442e	VR_EXPORT_REAL	REAL_24_06	USADA
F-0003	csv	CU002_Source_TEC002_CMD_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	05_LOGS\Validas\Prueba_24_06_2026\CU002_Source_TEC002_CMD_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	2026-06-24T13:11:09.341Z	1254734	2f5b27bacc06039542b14ebc7824a738436e46da316b2c68b2ce09dfe7fdae50	VR_EXPORT_REAL	REAL_24_06	USADA
F-0004	csv	CU003_Source_TEC003_ScheduledTask_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	05_LOGS\Validas\Prueba_24_06_2026\CU003_Source_TEC003_ScheduledTask_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	2026-06-24T13:10:59.527Z	158367	e0354070664b4c9a78c80e07bb1fbcc99def15ca08e5e397fb045e714c7b83f4	VR_EXPORT_REAL	REAL_24_06	USADA
F-0005	csv	CU004_Source_TEC004_RunKeys_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	05_LOGS\Validas\Prueba_24_06_2026\CU004_Source_TEC004_RunKeys_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	2026-06-24T13:10:48.183Z	108293	14aa340401999cc436c68f0da5350f537978bb023043d65f3e13f411078d1e31	VR_EXPORT_REAL	REAL_24_06	USADA
F-0006	csv	CU005_Source_TEC005_ServiceCreation_7045-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	05_LOGS\Validas\Prueba_24_06_2026\CU005_Source_TEC005_ServiceCreation_7045-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	2026-06-24T13:10:28.283Z	8841	ed19e1b9f5e52baefcf1ee794028bfddb3e51ae800d65b5ab48af6d306936a08	VR_EXPORT_REAL	REAL_24_06	USADA
F-0007	csv	Forensic_EVENT_PowerShell4104_Strong_By_Technique-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_PowerShell4104_Strong_By_Technique-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	2026-06-24T13:13:36.536Z	1689325	303ed512cb726e5119d76e4125b1d475aa3a15d9cefe19fb893655580cc32b16	VR_EXPORT_REAL	REAL_24_06	USADA
F-0008	csv	Forensic_EVENT_Sysmon_ID1_Process_By_Technique-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_Sysmon_ID1_Process_By_Technique-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	2026-06-24T13:13:28.407Z	4082771	ebb80d48f7a75023a417800db1a08793e22f4dd3d0f6fedfc0dfd9be56711036	VR_EXPORT_REAL	REAL_24_06	USADA
F-0009	csv	Forensic_EVENT_Sysmon_Registry_File_Network_Context-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_Sysmon_Registry_File_Network_Context-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	2026-06-24T13:13:22.486Z	151185	164f0b3b148f92ab7bc153e5098e532e9cca97a039626a9ba7f53da64e501bbf	VR_EXPORT_REAL	REAL_24_06	USADA
F-0010	csv	Forensic_EVENT_System_7045_ServiceCreation-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	05_LOGS\Validas\Prueba_24_06_2026\Forensic_EVENT_System_7045_ServiceCreation-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv	2026-06-24T13:13:15.481Z	19831	bad484b8d075da77d0cf784e03f4af822b433b52eb03e26be6b187af912cc120	VR_EXPORT_REAL	REAL_24_06	USADA
